日期,开盘价,收盘价,最高价,最低价,涨跌幅,成交量(万手),成交额(亿元)
2025-10-29,5205.5765,5264.3369,5264.6346,5186.5078,1.19%,4870.69,645.99
2025-10-28,5242.6326,5202.5988,5247.5569,5190.9277,-0.89%,4794.98,613.73
2025-10-27,5214.8305,5249.1402,5257.4372,5200.1853,1.08%,5047.36,696.55
2025-10-24,5184.2451,5192.8918,5212.3179,5154.3993,0.43%,4594.51,595.15
2025-10-23,5124.0766,5170.4121,5176.249,5095.3734,0.89%,4344.42,520.11
2025-10-22,5079.7266,5124.5709,5128.6078,5076.6372,0.13%,4241.68,490.13
2025-10-21,5082.9264,5117.8957,5125.5568,5065.2308,0.89%,4566.74,529.81
2025-10-20,5066.3005,5072.6201,5076.2965,5044.8508,0.58%,3763.44,451.74
2025-10-17,5138.901,5043.2962,5164.3271,5040.1973,-2.13%,4573.05,559.52
2025-10-16,5177.0231,5153.0203,5191.8871,5136.5549,-0.60%,4746.92,566.6
2025-10-15,5141.4794,5184.2044,5184.2044,5119.0133,0.98%,5045.01,614.96
2025-10-14,5194.5949,5133.758,5216.6651,5116.9878,-0.29%,6811.74,829.49
2025-10-13,5032.916,5148.745,5156.778,5032.916,-0.64%,5895.79,719.05
2025-10-10,5180.7223,5181.8873,5235.2068,5154.6448,-0.16%,6300.68,817.69
2025-10-09,5099.7826,5190.3759,5190.3759,5086.5008,2.83%,5777.03,753.89
2025-09-30,5007.3882,5047.3651,5052.0854,5003.1718,0.80%,4708.26,619.07
2025-09-29,4964.0813,5007.2498,5015.083,4929.5907,1.05%,5234.31,691.84
2025-09-26,4946.2904,4955.449,4989.1175,4945.8822,-0.13%,5310.44,632.12
2025-09-25,4971.9584,4961.7212,4991.425,4953.3952,0.14%,5927.71,711.02
2025-09-24,4927.5216,4954.6391,4958.0825,4903.5128,-0.02%,5449.84,589.04
2025-09-23,4955.872,4955.8125,4975.3156,4895.8261,-0.27%,6062.83,594.7
2025-09-22,5003.9621,4969.4087,5008.6298,4949.3772,-0.81%,5017.06,519.81
2025-09-19,4988.0648,5009.7436,5015.9866,4975.3861,0.15%,4465.75,529.45
2025-09-18,5064.996,5002.06,5077.4479,4968.4735,-1.56%,7455.58,827.25
2025-09-17,5026.0098,5081.4452,5082.0162,5015.7841,1.11%,6337.96,691.47
2025-09-16,5051.7311,5025.4233,5060.4026,4984.3454,-0.04%,4412.13,584.52
2025-09-15,5030.1802,5027.4365,5045.2128,5016.0576,0.05%,4017.6,525.24
2025-09-12,5028.3733,5024.796,5063.8871,5018.8898,0.03%,4957.7,553.8
2025-09-11,4964.8242,5023.4806,5023.4806,4946.0783,1.04%,3145.27,427.31
2025-09-10,4978.8858,4971.6422,4986.5956,4938.9228,-0.45%,2764.09,354.09
2025-09-09,4995.7462,4993.9344,5028.0961,4971.1934,-0.12%,3505.71,445.0
2025-09-08,4999.7713,5000.1544,5018.9213,4975.8032,0.19%,3757.69,510.94
2025-09-05,4904.7697,4990.6772,4993.0747,4898.7443,1.68%,3770.02,488.71
