日期,开盘价,收盘价,最高价,最低价,涨跌幅,成交量(亿张),成交额(亿元)
2025-10-29,,172.5015,,,0.03%,63.78,6342.29
2025-10-28,,172.4547,,,0.08%,64.05,6358.8
2025-10-27,,172.3117,,,0.04%,61.36,6076.15
2025-10-24,,172.2371,,,-0.02%,53.88,5344.57
2025-10-23,,172.2659,,,0.00%,62.28,6164.5
2025-10-22,,172.2615,,,0.02%,58.63,5804.84
2025-10-21,,172.2355,,,0.02%,61.91,6129.23
2025-10-20,,172.2061,,,-0.01%,62.16,6161.7
2025-10-17,,172.2293,,,0.06%,59.27,5874.17
2025-10-16,,172.1302,,,0.01%,66.83,6610.14
2025-10-15,,172.1068,,,0.00%,65.56,6472.91
2025-10-14,,172.1077,,,0.00%,56.21,5543.18
2025-10-13,,172.1039,,,0.05%,63.4,6257.31
2025-10-10,,172.0173,,,0.00%,21.81,2161.57
2025-10-09,,172.015,,,0.10%,27.35,2690.19
2025-09-30,,171.8479,,,0.04%,16.7,1669.04
2025-09-29,,171.7808,,,-0.02%,36.97,3683.57
2025-09-26,,171.8154,,,0.03%,31.88,3175.68
2025-09-25,,171.7672,,,-0.04%,54.14,5369.9
2025-09-24,,171.8395,,,-0.07%,53.96,5338.72
2025-09-23,,171.9566,,,-0.05%,56.82,5623.82
2025-09-22,,172.0426,,,0.03%,54.46,5381.43
2025-09-19,,171.9892,,,-0.04%,51.08,5047.46
2025-09-18,,172.052,,,-0.02%,59.71,5920.59
2025-09-17,,172.0805,,,0.07%,56.04,5541.47
2025-09-16,,171.9558,,,0.04%,55.94,5526.71
2025-09-15,,171.8801,,,0.05%,56.53,5577.97
2025-09-12,,171.7966,,,0.02%,56.56,5590.39
2025-09-11,,171.758,,,0.00%,57.82,5712.99
2025-09-10,,171.7635,,,-0.10%,61.05,6045.88
2025-09-09,,171.9312,,,-0.04%,56.55,5597.31
2025-09-08,,172.0037,,,-0.07%,48.06,4758.68
2025-09-05,,172.1236,,,-0.06%,49.71,4938.18
2025-09-04,,172.2297,,,0.01%,55.55,5520.26
2025-09-03,,172.2064,,,0.06%,39.02,3866.69
2025-09-02,,172.0967,,,0.03%,48.53,4795.69
2025-09-01,,172.0469,,,0.04%,41.15,4069.81
2025-08-29,,171.9739,,,0.01%,43.7,4336.86
2025-08-28,,171.9568,,,-0.07%,50.22,4997.6
2025-08-27,,172.0776,,,-0.01%,56.17,5612.82
2025-08-26,,172.0872,,,0.04%,61.44,6133.38
2025-08-25,,172.022,,,0.06%,55.11,5496.15
2025-08-22,,171.9188,,,0.01%,51.01,5093.13
2025-08-21,,171.9063,,,0.02%,59.88,5969.23
2025-08-20,,171.8695,,,0.00%,64.77,6463.24
2025-08-19,,171.8613,,,0.01%,63.24,6309.15
2025-08-18,,171.8415,,,-0.16%,58.32,5826.46
2025-08-15,,172.125,,,-0.05%,59.0,5898.13
2025-08-14,,172.2108,,,-0.01%,55.5,5550.57
2025-08-13,,172.2349,,,0.00%,58.84,5886.46
2025-08-12,,172.2319,,,-0.06%,53.87,5392.43
2025-08-11,,172.3414,,,-0.05%,58.38,5862.21
2025-08-08,,172.428,,,0.02%,51.55,5176.94
2025-08-07,,172.3968,,,0.03%,51.44,5164.34
2025-08-06,,172.3516,,,0.01%,57.01,5717.33
2025-08-05,,172.3275,,,-0.02%,59.13,5934.6
2025-08-04,,172.3588,,,0.02%,52.04,5221.67
2025-08-01,,172.3236,,,0.00%,59.28,5949.33
2025-07-31,,172.3151,,,0.09%,56.29,5654.27
2025-07-30,,172.1669,,,0.05%,61.86,6206.59
2025-07-29,,172.0742,,,-0.08%,60.16,6045.08
2025-07-28,,172.2176,,,0.09%,66.07,6642.23
2025-07-25,,172.0555,,,-0.01%,62.25,6263.74
2025-07-24,,172.0797,,,-0.12%,64.87,6534.58
2025-07-23,,172.2924,,,-0.08%,60.77,6112.52
2025-07-22,,172.4334,,,-0.03%,60.99,6145.12
2025-07-21,,172.4921,,,-0.03%,56.8,5715.34
2025-07-18,,172.5463,,,-0.01%,48.69,4909.52
2025-07-17,,172.5607,,,0.01%,48.67,4910.77
2025-07-16,,172.5465,,,0.01%,55.84,5633.57
2025-07-15,,172.5356,,,0.06%,57.05,5755.45
2025-07-14,,172.4349,,,-0.01%,60.17,6066.89
2025-07-11,,172.4553,,,-0.03%,54.75,5533.32
2025-07-10,,172.5097,,,-0.04%,49.98,5055.5
2025-07-09,,172.5872,,,-0.02%,47.76,4829.32
2025-07-08,,172.6169,,,-0.03%,44.53,4501.53
2025-07-07,,172.6671,,,0.01%,44.89,4540.18
2025-07-04,,172.6433,,,0.01%,47.86,4843.02
2025-07-03,,172.6201,,,0.02%,52.5,5307.15
2025-07-02,,172.5808,,,0.05%,52.32,5279.53
2025-07-01,,172.4871,,,0.02%,43.2,4357.1
2025-06-30,,172.4456,,,0.00%,31.25,3171.56
2025-06-27,,172.4391,,,0.02%,45.9,4667.12
2025-06-26,,172.4126,,,0.01%,56.76,5766.14
2025-06-25,,172.4006,,,-0.03%,51.35,5207.12
2025-06-24,,172.4473,,,-0.03%,49.02,4977.09
2025-06-23,,172.492,,,0.03%,51.16,5190.47
2025-06-20,,172.4484,,,0.01%,50.48,5121.61
2025-06-19,,172.4283,,,0.02%,55.54,5627.23
2025-06-18,,172.3903,,,0.02%,63.48,6436.79
2025-06-17,,172.3492,,,0.04%,57.89,5862.41
2025-06-16,,172.2753,,,0.02%,56.65,5738.82
2025-06-13,,172.2344,,,0.00%,53.72,5439.34
2025-06-12,,172.2413,,,-0.01%,58.23,5906.62
2025-06-11,,172.2623,,,0.03%,60.71,6144.65
2025-06-10,,172.2124,,,-0.01%,66.74,6757.07
2025-06-09,,172.2215,,,0.04%,67.2,6809.88
2025-06-06,,172.1467,,,0.07%,57.15,5785.09
2025-06-05,,172.0281,,,0.02%,57.5,5805.92
2025-06-04,,171.9951,,,0.02%,54.41,5488.66
2025-06-03,,171.9587,,,0.01%,51.89,5239.21
2025-05-30,,171.9408,,,0.07%,45.27,4583.6
2025-05-29,,171.8196,,,-0.06%,47.56,4813.21
2025-05-28,,171.9306,,,-0.04%,51.22,5179.49
2025-05-27,,171.9942,,,-0.03%,52.94,5349.13
2025-05-26,,172.0494,,,0.04%,50.76,5110.07
2025-05-23,,171.9846,,,0.00%,50.21,5014.8
2025-05-22,,171.9863,,,0.00%,51.72,5168.67
2025-05-21,,171.9787,,,0.00%,52.48,5247.88
2025-05-20,,171.9834,,,0.01%,61.32,6136.95
2025-05-19,,171.9696,,,0.05%,59.29,5928.07
2025-05-16,,171.8814,,,-0.04%,54.34,5442.1
2025-05-15,,171.9467,,,-0.04%,56.39,5642.78
2025-05-14,,172.0226,,,-0.01%,58.56,5864.5
2025-05-13,,172.046,,,0.02%,68.7,6903.48
2025-05-12,,172.0175,,,-0.06%,66.8,6694.84
2025-05-09,,172.122,,,0.03%,56.56,5689.68
2025-05-08,,172.0641,,,0.09%,66.27,6657.45
2025-05-07,,171.9157,,,0.01%,44.27,4437.35
2025-05-06,,171.9067,,,0.04%,38.54,3858.93
2025-04-30,,171.8385,,,0.04%,28.11,2837.22
2025-04-29,,171.7758,,,0.07%,40.37,4064.89
2025-04-28,,171.6479,,,0.03%,50.76,5078.78
2025-04-25,,171.5924,,,0.01%,26.19,2633.26
2025-04-24,,171.58,,,-0.01%,46.87,4690.57
2025-04-23,,171.5921,,,-0.04%,57.09,5705.57
2025-04-22,,171.6525,,,0.03%,54.19,5416.68
2025-04-21,,171.6045,,,-0.02%,47.05,4701.31
2025-04-18,,171.6345,,,0.00%,42.12,4233.06
2025-04-17,,171.6315,,,-0.02%,52.51,5286.45
2025-04-16,,171.6585,,,0.05%,50.08,5011.4
2025-04-15,,171.58,,,0.00%,55.85,5578.79
2025-04-14,,171.5724,,,-0.01%,57.47,5769.88
2025-04-11,,171.5868,,,0.05%,60.78,6117.04
2025-04-10,,171.5094,,,0.02%,68.83,6934.15
2025-04-09,,171.478,,,0.00%,68.55,6891.95
2025-04-08,,171.4715,,,-0.18%,67.01,6760.75
2025-04-07,,171.7837,,,0.27%,58.12,5871.47
2025-04-03,,171.3217,,,0.28%,48.69,4882.78
2025-04-02,,170.8467,,,0.09%,54.74,5439.12
2025-04-01,,170.6992,,,0.04%,52.04,5158.19
2025-03-31,,170.6268,,,0.04%,45.35,4522.3
2025-03-28,,170.5642,,,0.00%,58.12,5811.65
2025-03-27,,170.5598,,,0.03%,60.07,6021.17
2025-03-26,,170.5015,,,0.03%,66.76,6677.35
2025-03-25,,170.4578,,,0.04%,59.98,5983.55
2025-03-24,,170.3837,,,0.03%,61.51,6121.79
2025-03-21,,170.3403,,,0.00%,61.7,6167.42
2025-03-20,,170.3386,,,0.13%,57.8,5763.2
2025-03-19,,170.1252,,,0.03%,60.36,6007.43
2025-03-18,,170.0743,,,0.01%,56.4,5593.83
2025-03-17,,170.0565,,,-0.13%,57.56,5728.26
2025-03-14,,170.279,,,0.04%,59.48,5960.68
2025-03-13,,170.2141,,,0.09%,66.76,6684.9
2025-03-12,,170.0671,,,0.03%,61.06,6108.93
2025-03-11,,170.0081,,,-0.18%,55.38,5532.1
2025-03-10,,170.3107,,,-0.06%,57.45,5757.5
2025-03-07,,170.4166,,,-0.18%,53.1,5332.77
2025-03-06,,170.7283,,,-0.09%,55.54,5617.99
2025-03-05,,170.8766,,,0.01%,65.39,6713.46
2025-03-04,,170.8588,,,0.02%,61.93,6366.55
2025-03-03,,170.8223,,,0.13%,59.17,6078.9
2025-02-28,,170.6074,,,0.06%,44.4,4559.31
2025-02-27,,170.5023,,,-0.11%,62.0,6394.81
2025-02-26,,170.6946,,,0.01%,73.76,7606.67
2025-02-25,,170.6828,,,0.01%,61.09,6291.79
2025-02-24,,170.6741,,,-0.15%,57.92,5985.68
2025-02-21,,170.9323,,,-0.13%,57.83,6005.32
2025-02-20,,171.151,,,-0.12%,65.41,6801.09
2025-02-19,,171.3516,,,0.05%,66.47,6896.34
2025-02-18,,171.2623,,,-0.08%,62.87,6526.44
2025-02-17,,171.4079,,,-0.09%,61.78,6428.27
2025-02-14,,171.5565,,,-0.10%,59.49,6198.12
2025-02-13,,171.7279,,,-0.03%,71.03,7411.22
2025-02-12,,171.7762,,,-0.03%,59.13,6162.94
2025-02-11,,171.831,,,0.02%,56.36,5868.6
2025-02-10,,171.8046,,,-0.11%,53.84,5591.92
2025-02-07,,171.992,,,-0.01%,35.49,3680.49
2025-02-06,,172.0029,,,0.08%,50.28,5241.54
2025-02-05,,171.857,,,0.21%,32.21,3355.09
2025-01-27,,171.492,,,0.04%,5.19,540.77
2025-01-24,,171.4224,,,0.00%,16.27,1691.76
2025-01-23,,171.4309,,,-0.07%,45.53,4753.66
2025-01-22,,171.5502,,,-0.01%,57.27,5979.05
2025-01-21,,171.5651,,,0.08%,52.88,5526.09
2025-01-20,,171.4362,,,-0.02%,45.84,4792.72
2025-01-17,,171.4723,,,-0.03%,46.93,4904.23
2025-01-16,,171.5282,,,-0.05%,56.51,5913.83
2025-01-15,,171.6205,,,0.04%,65.93,6898.25
2025-01-14,,171.5527,,,0.09%,58.55,6119.86
2025-01-13,,171.3927,,,-0.05%,61.98,6481.61
2025-01-10,,171.4839,,,-0.05%,53.55,5594.52
2025-01-09,,171.5684,,,-0.10%,56.41,5905.99
2025-01-08,,171.7475,,,-0.03%,57.29,6005.83
2025-01-07,,171.7978,,,-0.09%,54.01,5664.69
2025-01-06,,171.9477,,,0.03%,61.44,6444.59
2025-01-03,,171.8897,,,0.06%,50.83,5327.46
2025-01-02,,171.7787,,,0.16%,39.16,4087.41
2024-12-31,,171.5055,,,0.04%,9.83,1019.52
2024-12-30,,171.4308,,,-0.01%,22.25,2304.12
2024-12-27,,171.4534,,,0.11%,34.2,3546.96
2024-12-26,,171.2572,,,0.06%,40.25,4171.7
2024-12-25,,171.1532,,,-0.09%,44.39,4615.84
2024-12-24,,171.3038,,,-0.06%,38.11,3966.44
2024-12-23,,171.4138,,,0.06%,37.57,3912.85
2024-12-20,,171.3153,,,0.18%,39.48,4105.13
2024-12-19,,171.0135,,,0.04%,51.2,5315.65
2024-12-18,,170.9371,,,-0.04%,46.45,4825.29
2024-12-17,,171.0061,,,-0.04%,51.32,5328.71
2024-12-16,,171.0825,,,0.17%,37.34,3879.9
2024-12-13,,170.7941,,,0.18%,37.98,3932.52
2024-12-12,,170.4893,,,0.09%,40.07,4132.73
2024-12-11,,170.3412,,,0.05%,47.67,4913.75
2024-12-10,,170.2503,,,0.26%,44.18,4536.7
2024-12-09,,169.8032,,,0.11%,50.84,5188.86
2024-12-06,,169.6218,,,-0.02%,40.14,4099.29
2024-12-05,,169.6522,,,0.03%,52.5,5358.56
2024-12-04,,169.6037,,,0.10%,53.93,5493.53
2024-12-03,,169.426,,,-0.01%,59.74,6080.08
2024-12-02,,169.4504,,,0.23%,52.22,5309.31
2024-11-29,,169.0628,,,0.09%,45.5,4618.29
2024-11-28,,168.9047,,,0.07%,52.3,5298.38
2024-11-27,,168.7845,,,0.01%,54.68,5541.13
2024-11-26,,168.7614,,,0.02%,51.86,5252.81
2024-11-25,,168.7302,,,0.07%,49.33,4991.53
2024-11-22,,168.6105,,,0.00%,48.06,4870.39
2024-11-21,,168.6057,,,0.05%,46.76,4729.64
2024-11-20,,168.5197,,,0.00%,48.66,4924.68
